Date,Ingredient,Expected_Ingredient_Usage_kg,Purchased_Qty_kg,Quantity_Used,Waste_kg,Is_Weekend,Weather,Holiday
2024-01-01,Butter,12.73,3.78,3.14,0.6399999999999997,0,Sunny,Yes
2024-01-01,Chicken,51.52,42.78,36.92,5.859999999999999,0,Sunny,Yes
2024-01-01,Chilli Powder,0.373,0.66,0.58,0.08000000000000007,0,Sunny,Yes
2024-01-01,Cooking Oil,17.907,17.39,13.3,4.09,0,Sunny,Yes
2024-01-01,Coriander,0.368,2.88,2.46,0.41999999999999993,0,Sunny,Yes
2024-01-01,Flour,56.77,151.61,120.02,31.590000000000018,0,Sunny,Yes
2024-01-01,Garlic,2.142,4.05,2.99,1.0599999999999996,0,Sunny,Yes
2024-01-01,Ginger,2.004,4.83,3.39,1.44,0,Sunny,Yes
2024-01-01,Milk,40.010000000000005,28.37,20.8,7.57,0,Sunny,Yes
2024-01-01,Onions,35.17,108.42,101.49,6.930000000000007,0,Sunny,Yes
2024-01-01,Paneer,18.28,8.99,7.5,1.4900000000000002,0,Sunny,Yes
2024-01-01,Potatoes,45.74,96.41,70.74,25.67,0,Sunny,Yes
2024-01-01,Rice,20.97,126.84,91.15,35.69,0,Sunny,Yes
2024-01-01,Salt,2.185,18.16,16.38,1.7800000000000011,0,Sunny,Yes
2024-01-01,Spices Mix,5.931,2.47,1.96,0.5100000000000002,0,Sunny,Yes
2024-01-01,Sugar,13.319,16.32,11.57,4.75,0,Sunny,Yes
2024-01-01,Tomatoes,34.79,70.29,61.44,8.850000000000009,0,Sunny,Yes
2024-01-01,Yogurt,13.08,14.1,10.37,3.7300000000000004,0,Sunny,Yes
2024-01-02,Butter,13.35,4.44,3.49,0.9500000000000002,0,Partly Cloudy,No
2024-01-02,Chicken,58.69,17.44,15.94,1.5000000000000018,0,Partly Cloudy,No
2024-01-02,Chilli Powder,0.158,0.69,0.5,0.18999999999999995,0,Partly Cloudy,No
2024-01-02,Cooking Oil,20.82,19.85,14.33,5.520000000000001,0,Partly Cloudy,No
2024-01-02,Coriander,0.387,1.84,1.58,0.26,0,Partly Cloudy,No
2024-01-02,Flour,61.57,110.52,87.09,23.429999999999993,0,Partly Cloudy,No
2024-01-02,Garlic,2.309,3.74,2.8,0.9400000000000004,0,Partly Cloudy,No
2024-01-02,Ginger,2.239,2.26,1.89,0.3699999999999999,0,Partly Cloudy,No
2024-01-02,Milk,41.22,26.27,23.58,2.6900000000000013,0,Partly Cloudy,No
2024-01-02,Onions,39.69,85.94,64.14,21.799999999999997,0,Partly Cloudy,No
2024-01-02,Paneer,24.82,29.27,26.44,2.8299999999999983,0,Partly Cloudy,No
2024-01-02,Potatoes,40.05,68.82,49.86,18.959999999999994,0,Partly Cloudy,No
2024-01-02,Rice,20.29,195.37,152.11,43.25999999999999,0,Partly Cloudy,No
2024-01-02,Salt,2.273,11.07,9.25,1.8200000000000003,0,Partly Cloudy,No
2024-01-02,Spices Mix,6.805,2.95,2.65,0.30000000000000027,0,Partly Cloudy,No
2024-01-02,Sugar,13.954,6.35,5.02,1.33,0,Partly Cloudy,No
